Zipcode,Rural Percent,Urban Percent
01581,4.93,95.07
01583,11.71,88.29
01585,56.17,43.83
01588,1.07,98.93
01590,38.72,61.28
01602,0,100
01603,0,100
01604,0,100
01605,0,100
01606,0,100
01607,0,100
01608,0,100
01609,0,100
01610,0,100
01611,23.95,76.05
01612,56.04,43.96
01701,0,100
01702,0,100
01718,0,100
01719,0.1,99.9
01720,5.68,94.32
01721,1.49,98.51
01730,0.59,99.41
01731,0,100
01740,94.18,5.82
01741,85.1,14.9
01742,13.84,86.16
01745,0,100
01746,3.92,96.08
01747,0.68,99.32
01748,21.65,78.35
01749,1.96,98.04
01752,0.31,99.69
01754,0.57,99.43
01756,54.98,45.02
01757,0.93,99.07
01760,1.23,98.77
01770,69.12,30.88
01772,0.61,99.39
01773,46.22,53.78
01775,37.85,62.15
01776,5.41,94.59
01778,2.79,97.21
01801,0,100
01803,0,100
01810,0,100
01821,0,100
01824,0,100
01826,4.05,95.95
01827,84.71,15.29
01830,1.81,98.19
01832,0,100
01833,9.61,90.39
01834,12.57,87.43
01835,1.26,98.74
01840,0,100
01841,0,100
01843,0,100
01844,0,100
01845,4.36,95.64
01850,0,100
01851,0,100
01852,0,100
01854,0,100
01860,13.43,86.57
01862,0.41,99.59
01863,0,100
01864,0,100
01867,0,100
01876,0,100
01879,3.55,96.45
01880,0,100
01886,0.18,99.82
01887,0,100
01890,0,100
01901,0,100
01902,0,100
01904,0,100
01905,0,100
01906,0,100
01907,0,100
01908,0,100
01913,0.57,99.43
01915,0.68,99.32
01921,57,43
01922,48.58,51.42
01923,0,100
01929,43.55,56.45
01930,11.78,88.22
01937,0,100
01938,29.81,70.19
01940,0,100
01944,17.5,82.5
01945,0,100
01949,11.52,88.48
01950,0.02,99.98
01951,41.34,58.66
01952,10.7,89.3
01960,0,100
01966,7.98,92.02
01969,24.56,75.44
01970,0,100
01982,17.1,82.9
01983,14.9,85.1
01984,21.09,78.91
01985,57.14,42.86
02019,3.6,96.4
02021,0,100
02025,4.26,95.74
02026,0,100
02030,30.02,69.98
02032,0,100
02035,0.97,99.03
02038,0.84,99.16
02043,2.6,97.4
02045,0.01,99.99
02047,0,100
02050,8.66,91.34
02052,4.82,95.18
02053,0.3,99.7
02054,13.05,86.95
02056,0.16,99.84
02061,9.98,90.02
02062,0,100
02066,5.83,94.17
02067,8.21,91.79
02071,0,100
02072,0,100
02081,0,100
02090,1.33,98.67
02093,12.74,87.26
02108,0,100
02109,0,100
02110,0,100
02111,0,100
02113,0,100
02114,0,100
02115,0,100
02116,0,100
02118,0,100
02119,0,100
02120,0,100
02121,0,100
02122,2.27,97.73
02124,0,100
02125,0,100
02126,0,100
02127,0,100
02128,0,100
02129,0,100
02130,0,100
02131,0,100
02132,0,100
02134,0,100
02135,0,100
02136,0,100
02138,0,100
02139,0,100
02140,0,100
02141,0,100
02142,0,100
02143,0,100
02144,0,100
02145,0,100
02148,0,100
02149,0,100
02150,0,100
02151,0,100
02152,0,100
02155,0,100
02163,0,100
02169,0,100
02170,0,100
02171,0,100
02176,0,100
02180,0,100
02184,0,100
02186,0,100
02188,0,100
02189,0,100
02190,0,100
02191,0,100
02199,0,100
02203,0,100
02210,0,100
02215,0,100
02301,0,100
02302,0,100
02322,0,100
02324,5.82,94.18
02330,23.29,76.71
02332,6.02,93.98
02333,6.19,93.81
02338,27.96,72.04
02339,0,100
02341,10.29,89.71
02343,0,100
02346,45.08,54.92
02347,49.17,50.83
02351,0,100
02356,3.45,96.55
02357,0,100
02359,2.91,97.09
02360,10.2,89.8
02364,8.35,91.65
02366,100,0
02367,87.77,12.23
02368,0,100
02370,0,100
02375,4.53,95.47
02379,8.08,91.92
02382,0,100
02420,0,100
02421,0,100
02445,0,100
02446,0,100
02451,0,100
02452,0,100
02453,0,100
02457,0,100
02458,0,100
02459,0,100
02460,0,100
02461,0,100
02462,0,100
02464,0,100
02465,0,100
02466,0,100
02467,0,100
02468,0,100
02472,0,100
02474,0,100
02476,0,100
02478,0,100
02481,0,100
02482,0,100
02492,0,100
02493,0,100
02494,0,100
02532,9.86,90.14
02534,25.65,74.35
02535,100,0
02536,7.13,92.87
02537,3.77,96.23
02538,10.6,89.4
02539,31.28,68.72
02540,1.64,98.36
02542,9.22,90.78
02543,3.62,96.38
